literature_id,reference_short,doi,year,source_dataset,formulation_id,electrolyte,method,current_ma_cm2,capacity_mah_cm2,cycle,ce_percent,lce,reference_id,solvent_1_volume_fraction,solvent_2_volume_fraction,solvent_3_volume_fraction,solvent_1_molarity,solvent_2_molarity,solvent_3_molarity,salt_1_molarity,salt_2_molarity,salt_3_molarity,fc,oc,fo,inor,f_total,f_solvent,f_anion,o_total,o_solvent,o_anion,c_total,c_solvent,c_anion,reference_text
cui2023_001,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,1_m_liclo4_pc_5_fec,1 M LiClO4-PC + 5% FEC,Cycle,0.5,0.083,30.0,80.0,0.6989700043360189,2.0,1.0,0.05,,11.754564689287674,0.6854998397043016,,1.0,,,0.013968481227056049,0.841984658474856,0.01658994743723491,0.8763302140905531,0.0041378841237753525,0.0041378841237753525,0.0,0.24942117143109072,0.2252759630204788,0.024145208410611897,0.2962300665701964,0.2962300665701964,0.0,"Mogi, R. et al. Effects of Some Organic Additives on Lithium Deposition in Propylene Carbonate. J. Electrochem. Soc. 149, A1578 (2002)."
cui2023_002,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,1_m_lipf6_ec_dmc_1_1_v_2_vc,1 M LiPF6 EC-DMC (1:1 v) 2% VC,Cycle,0.6,0.44,50.0,80.0,0.6989700043360189,34.0,0.5,0.5,0.02,7.494719629352049,5.9392970536646015,0.31378564953629456,1.0,,,0.1454777972232165,1.0,0.1454777972232165,1.1697240967604192,0.03828262946791827,0.0,0.03828262946791827,0.26315101134765345,0.26315101134765345,0.0,0.26315101134765345,0.26315101134765345,0.0,"Ota, H., Shima, K., Ue, M. & Yamaki, J. Effect of vinylene carbonate as additive to electrolyte for lithium metal anode. Electrochim. Acta 49, 565–572 (2004)."
cui2023_003,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,1_m_libf4_ec_dmc_1_1_v_2_vc,1 M LiBF4 EC-DMC (1:1 v) 2% VC,Cycle,0.6,0.44,50.0,80.0,0.6989700043360189,34.0,0.5,0.5,0.02,7.494719629352049,5.9392970536646015,0.31378564953629456,1.0,,,0.14263404324360732,0.9847837183017345,0.14483793811049253,1.1516640610825446,0.03756240205750315,0.01202153591049008,0.025540866147013067,0.2593409057566666,0.2593409057566666,0.0,0.2633480843934966,0.2633480843934966,0.0,"Ota, H., Shima, K., Ue, M. & Yamaki, J. Effect of vinylene carbonate as additive to electrolyte for lithium metal anode. Electrochim. Acta 49, 565–572 (2004)."
cui2023_004,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,1m_litfpfb_pc,1M LiTFPFB PC,Cycle,0.5,1.0,50.0,80.6,0.7121982700697738,21.0,1.0,,,11.754564689287674,,,1.0,,,0.23991238995868602,0.7250091260459701,0.3309094759497883,0.98491421516788,0.07025376910012304,0.0,0.07025376910012304,0.21230509914676254,0.20645061838841897,0.005854480758343587,0.2928309334595894,0.2752674911845586,0.01756344227503076,"Qiao, L. et al. A promising bulky anion based lithium borate salt for lithium metal batteries. Chem. Sci. 9, 3451–3458 (2018)."
cui2023_005,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,1_m_lipf6_ec_emc_3_7_wt_2_wt_vc,1 M LiPF6 EC-EMC (3:7 wt) 2% wt VC,Aurbach,0.5,1.0,10.0,82.0,0.7447274948966941,13.0,0.24620655898188937,0.7537934410181106,0.02,3.690498260953578,7.284217721357674,0.31378564953629456,1.0,,,0.14580900230748536,0.8229825802430556,0.1771714320665485,0.9930930829351219,0.03829497162843632,0.0,0.03829497162843632,0.2161464248595795,0.2161464248595795,0.0,0.262637910022037,0.262637910022037,0.0,"Chen, S. et al. High-Efficiency Lithium Metal Batteries with Fire-Retardant Electrolytes. Joule 2, 1548–1558 (2018)."
cui2023_006,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,1_m_litfsi_ec_dmc_1_1_v_2_vc,1 M LiTFSI EC-DMC (1:1 v) 2% VC,Cycle,0.6,0.44,50.0,82.0,0.7447274948966941,34.0,0.5,0.5,0.02,7.494719629352049,5.9392970536646015,0.31378564953629456,1.0,,,0.13874947458059525,1.0462498248601984,0.132616007461827,1.2543740367310914,0.03642344893521116,0.0,0.03642344893521116,0.27465348740570034,0.2503711881155596,0.024282299290140773,0.26251233776062993,0.2503711881155596,0.012141149645070386,"Ota, H., Shima, K., Ue, M. & Yamaki, J. Effect of vinylene carbonate as additive to electrolyte for lithium metal anode. Electrochim. Acta 49, 565–572 (2004)."
cui2023_007,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,1m_lipf6_ec_dmc_3_7_v_v,1M LiPF6 EC-DMC (3:7 v/v),Aurbach,0.4,0.8,10.0,83.3,0.7772835288524166,1.0,0.3,0.7,,4.496831777611229,8.315015875130442,,1.0,,,0.1561055090732374,1.0,0.1561055090732374,1.182123093918777,0.03928025266926178,0.0,0.03928025266926178,0.25162630647989065,0.25162630647989065,0.0,0.25162630647989065,0.25162630647989065,0.0,"Zheng, H. et al. Lithium Difluorophosphate-Based Dual-Salt Low Concentration Electrolytes for Lithium Metal Batteries. Adv. Energy Mater. 10, 2001440 (2020)."
cui2023_008,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,1m_lipf6_ec_dec_1_2_w_w,1M LiPF6 EC-DEC (1:2 w/w),Cycle,1.0,1.0,40.0,83.7,0.7878123955960424,10.0,0.2667578659370725,0.7332421340629275,,3.9985508282452793,6.0519011319000615,,1.0,,,0.14199449874307085,0.7135544441110758,0.19899602604250222,0.8792146926446586,0.03823610996121603,0.0,0.03823610996121603,0.19214509315401823,0.19214509315401823,0.0,0.2692788122052644,0.2692788122052644,0.0,"Genovese, M. et al. Combinatorial Methods for Improving Lithium Metal Cycling Efficiency. J. Electrochem. Soc. 165, A3000–A3013 (2018)."
cui2023_009,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,1_5_m_liasf6_pc,1.5 M LiAsF6-PC,Cycle,1.0,1.0,,85.0,0.8239087409443187,35.0,1.0,,,11.754564689287674,,,1.5,,,0.19141499999999997,0.75,0.25522,0.9733175,0.05460855524046993,0.0,0.05460855524046993,0.21396659838754772,0.21396659838754772,0.0,0.28528879785006367,0.28528879785006367,0.0,"Aurbach, D. & Zaban, A. Impedance spectroscopy of lithium electrodes: Part 1. General behavior in propylene carbonate solutions and the correlation to surface chemistry and cycling efficiency. J. Electroanal. Chem. 348, 155–179 (1993)."
cui2023_010,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,1_m_libeti_ec_dmc_1_1_v_2_vc,1 M LiBETI EC-DMC (1:1 v) 2% VC,Cycle,0.6,0.44,50.0,86.0,0.8538719643217619,34.0,0.5,0.5,0.02,7.494719629352049,5.9392970536646015,0.31378564953629456,1.0,,,0.221026679103045,1.0,0.22102667910304497,1.2873346828339585,0.05857234153445593,0.0,0.05857234153445593,0.2650012286849267,0.2415722920711443,0.023428936613782373,0.2650012286849267,0.2415722920711443,0.023428936613782373,"Ota, H., Shima, K., Ue, M. & Yamaki, J. Effect of vinylene carbonate as additive to electrolyte for lithium metal anode. Electrochim. Acta 49, 565–572 (2004)."
