literature_id,reference_short,doi,year,source_dataset,formulation_id,cell_type,salt_name,salt_name_2,salt_name_3,salt_concentration_m,salt_concentration_2_m,salt_concentration_3_m,anion_name,solvent_1,solvent_1_fraction,solvent_2,solvent_2_fraction,solvent_3,solvent_3_fraction,additive_1,additive_1_fraction,additive_2,additive_2_fraction,temperature_c,current_density_ma_cm2,areal_capacity_mah_cm2,ce_mean,ce_std,ce_metric_definition,cycle_count,interfacial_resistance_ohm_cm2,conductivity_ms_cm,viscosity_cp,transference_number,substrate_type,separator_type,usable_for_md,pilot_priority,raw_source_location,notes,raw_electrolyte_text,raw_reference_id,fc,oc,fo,inor,f_total,f_solvent,f_anion,o_total,o_solvent,o_anion,c_total,c_solvent,c_anion,in_pilot_window,ce_bin
cui2023_008,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,1m_lipf6_ec_dec_1_2_w_w,Li|Cu,LiPF6,,,1.0,,,PF6,EC,0.2667578659370725,DEC,0.7332421340629275,,,,,,,,1.0,1.0,83.7,,Cycle,40.0,,,,,,,yes,high,"Genovese, M. et al. Combinatorial Methods for Improving Lithium Metal Cycling Efficiency. J. Electrochem. Soc. 165, A3000–A3013 (2018).",,1M LiPF6 EC-DEC (1:2 w/w),10.0,0.1419944987430708,0.7135544441110758,0.1989960260425022,0.8792146926446586,0.038236109961216,0.0,0.038236109961216,0.1921450931540182,0.1921450931540182,0.0,0.2692788122052644,0.2692788122052644,0.0,True,low
cui2023_011,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,1_m_lipf6_ec_dmc_1_2_vol,Li|Cu,LiPF6,,,1.0,,,PF6,EC,0.333,DMC,0.667,,,,,,,,0.5,0.5,86.0,,Cycle,100.0,,,,,,,yes,high,"Ma, Y. et al. Enabling reliable lithium metal batteries by a bifunctional anionic electrolyte additive. Energy Storage Mater. 11, 197–204 (2018).",,1 M LiPF6 EC-DMC (1:2 vol),36.0,0.1548646205138512,1.0,0.1548646205138512,1.1806753905994931,0.0392179675896959,0.0,0.0392179675896959,0.2532403299060051,0.2532403299060051,0.0,0.2532403299060051,0.2532403299060051,0.0,True,low
cui2023_013,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,1_m_lipf6_ec_dec_1_1_vol,Li|Cu,LiPF6,,,1.0,,,PF6,EC,0.5,DEC,0.5,,,,,,,,0.5,0.5,88.0,,Cycle,100.0,,,,,,,yes,high,"Xu, L. et al. Self-leveling electrolyte enabled dendrite-free lithium deposition for safer and stable lithium metal batteries. Chem. Eng. J. 419, 129494 (2021).",,1 M LiPF6-EC/DEC (1:1 vol.),38.0,0.1391523567266217,0.808581579885922,0.1720943936742336,0.9709259960669808,0.0381607130732046,0.0,0.0127202376910682,0.2217429182814697,0.2217429182814697,0.0254404753821364,0.2742369153558434,0.2742369153558434,0.0,True,low
cui2023_014,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,0_6m_litfsi_0_4m_libob_ec_emc_5_5_wt,Li|Cu,LiTFSI,LiBOB,,0.6,0.4,,TFSI,EC,0.4325021496130696,EMC,0.5674978503869303,,,,,,,,0.5,1.0,88.1,,Aurbach,10.0,,,,,,,yes,high,"Li, X. et al. Dendrite-Free and Performance-Enhanced Lithium Metal Batteries through Optimizing Solvent Compositions and Adding Combinational Additives. Adv. Energy Mater. 8, 1703022 (2018).",,0.6M LiTFSI 0.4M LiBOB EC-EMC (5:5 wt),7.0,0.0814760570422074,0.9392558336046142,0.0867453297889287,1.070522814394837,0.0221826299358415,0.0,0.0221826299358415,0.2557213165229416,0.2212150032894102,0.0345063132335313,0.2722594924340807,0.2550063358173149,0.0172531566167656,True,low
cui2023_015,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,1m_lipf6_ec_dec_1_1_w_w,Li|Cu,LiPF6,,,1.0,,,PF6,EC,0.4248366013071895,DEC,0.5751633986928105,,,,,,,,1.0,1.0,90.3,,Cycle,40.0,,,,,,,yes,high,"Genovese, M. et al. Combinatorial Methods for Improving Lithium Metal Cycling Efficiency. J. Electrochem. Soc. 165, A3000–A3013 (2018).",,1M LiPF6 EC-DEC (1:1 w/w),10.0,0.1400557452898177,0.7783767459418648,0.1799331056843753,0.9417751154466522,0.0381849775908377,0.0,0.0381849775908377,0.2122176319115996,0.2122176319115996,0.0,0.2726412794549874,0.2726412794549874,0.0,True,low
cui2023_017,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,0_6m_litfsi_0_4m_libob_ec_emc_7_3_wt,Li|Cu,LiTFSI,LiBOB,,0.6,0.4,,TFSI,EC,0.6400654426467914,EMC,0.3599345573532084,,,,,,,,0.5,1.0,91.6,,Aurbach,10.0,,,,,,,yes,high,"Li, X. et al. Dendrite-Free and Performance-Enhanced Lithium Metal Batteries through Optimizing Solvent Compositions and Adding Combinational Additives. Adv. Energy Mater. 8, 1703022 (2018).",,0.6M LiTFSI 0.4M LiBOB EC-EMC (7:3 wt),7.0,0.0791287883844928,0.98509309319726,0.0803262036156086,1.1125783633722766,0.0220432679379246,0.0,0.0220432679379246,0.2744218815993108,0.2401323536958724,0.0342895279034384,0.2785745667027625,0.2614298027510433,0.0171447639517192,True,low
cui2023_018,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,0_6m_litfsi_0_4m_libob_ec_emc_9_1_wt,Li|Cu,LiTFSI,LiBOB,,0.6,0.4,,TFSI,EC,0.8727588201272412,EMC,0.1272411798727588,,,,,,,,0.5,1.0,91.7,,Aurbach,10.0,,,,,,,yes,high,"Li, X. et al. Dendrite-Free and Performance-Enhanced Lithium Metal Batteries through Optimizing Solvent Compositions and Adding Combinational Additives. Adv. Energy Mater. 8, 1703022 (2018).",,0.6M LiTFSI 0.4M LiBOB EC-EMC (9:1 wt),7.0,0.076653099936215,1.0334381233672256,0.0741728974410757,1.1569347843755722,0.0218891004784874,0.0,0.0218891004784874,0.2951091467860816,0.2610594349306568,0.0340497118554248,0.2855605382783198,0.2685356823506074,0.0170248559277124,True,low
cui2023_019,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,1_m_lipf6_fec_dmc_1_1_v,Li|Cu,LiPF6,,,1.0,,,PF6,FEC,0.5,EC,0.5,DMC,,,,,,,1.0,1.0,91.78,,Cycle,50.0,,,,,,,yes,high,"Xu, L. et al. Self-leveling electrolyte enabled dendrite-free lithium deposition for safer and stable lithium metal batteries. Chem. Eng. J. 419, 129494 (2021).",,1 M LiPF6 FEC-DMC (1:1 v),38.0,0.3349148440560682,1.0,0.3349148440560682,1.3609681218326808,0.08696295308457,0.0463734716710645,0.0405894814135054,0.2596569086976972,0.2596569086976972,0.0,0.2596569086976972,0.2596569086976972,0.0,True,low
cui2023_020,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,1_m_lipf6_fec_ec_dec_2_9_9_vol,Li|Cu,LiPF6,,,1.0,,,PF6,FEC,0.1,EC,0.45,DEC,0.45,,,,,,0.5,1.0,92.2,,Cycle,150.0,,,,,,,yes,high,"Gu, S. et al. Nitrate Additives Coordinated with Crown Ether Stabilize Lithium Metal Anodes in Carbonate Electrolyte. Adv. Funct. Mater. 31, 2102128 (2021).",,1 M LiPF6 FEC-EC-DEC (2:9:9 vol),39.0,0.1717405726269909,0.826925360582763,0.207685700322408,1.0219654285423558,0.0472449141186303,0.0087875138960155,0.0384574002226148,0.2274827493914509,0.2274827493914509,0.0,0.2750946581577035,0.2750946581577035,0.0,True,low
cui2023_021,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,1_m_litfsi_ec_dmc_1_1_v_5wt_fec,Li|Cu,LiTFSI,,,1.0,,,TFSI,EC,0.5,DMC,0.5,FEC,0.05,,,,,,0.5,0.5,92.2,,Cycle,50.0,,,,,,,yes,high,"Liu, B. et al. Importance of oxygen in the metal-free catalytic growth of single-walled carbon nanotubes from SiO x by a vapor-solid-solid mechanism. J. Am. Chem. Soc. 133, 197–199 (2011).",,1 M LiTFSI EC-DMC (1:1 v) 5wt% FEC,40.0,0.1507150234799975,1.045087136966161,0.1442128777103852,1.2634328658954,0.0395419127487193,0.0040544425249806,0.0354874702237386,0.2741912745693154,0.2505329610868229,0.0236583134824924,0.2623621178280692,0.2505329610868229,0.0118291567412462,True,low
cui2023_022,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,3_57_m_litfsi_dme,Li|Cu,LiTFSI,,,3.57,0.0,,TFSI,DME,1.0,,,,,,,,,,1.0,1.0,92.8,,Aurbach,12.0,,,,,,,yes,high,"Yang, H. et al. Dissolution–Precipitation Dynamics in Ester Electrolyte for High-Stability Lithium Metal Batteries. ACS Energy Lett. 6, 1413–1421 (2021).",,3.57 M LiTFSI DME,41.0,0.4690537390648834,0.7345268695324417,0.6385794155678151,1.4381074781297667,0.1014081449177812,0.0,0.1014081449177812,0.1588027149725937,0.0911972850274062,0.0676054299451875,0.2161972850274063,0.1823945700548125,0.0338027149725937,True,low
cui2023_023,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,1m_lifsi_ec_dec_v_1_1,Li|Cu,LiFSI,,,1.0,,,FSI,EC,0.5,DEC,0.5,,,,,,,,0.5,1.0,93.0,,Aurbach,10.0,,,,,,,yes,high,,,1M LiFSI EC/DEC (v 1:1),,0.0463841189088739,0.9013498177036698,0.051460729228353,1.0173101149758546,0.0125604655833376,0.0,0.0125604655833376,0.2440786551547218,0.2189577239880464,0.0251209311666753,0.2707923720188356,0.2707923720188356,0.0,True,low
cui2023_031,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,2m_litfsi_2m_lidfob_dme,Li|Cu,LiTFSI,LiDFOB,,2.0,2.0,,TFSI,DME,1.0,,,,,,,,,,0.5,1.0,94.6,,Aurbach,10.0,,,,,,,yes,high,"Jiao, S. et al. Stable cycling of high-voltage lithium metal batteries in ether electrolytes. Nat. Energy 3, 739–746 (2018).",,2M LiTFSI 2M LiDFOB DME,17.0,0.3438907120506754,0.7579180340380066,0.4537307421206324,1.2737541021140195,0.0776300941519007,0.0,0.0776300941519007,0.171092868402691,0.0934627742507903,0.0776300941519007,0.225740595577531,0.1869255485015806,0.0388150470759503,True,low
cui2023_034,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,1_m_lipf6_ec_dec_1_1_vol_5_vol_fec,Li|Cu,LiPF6,,,1.0,,,PF6,EC,0.5,DEC,0.5,FEC,0.05,,,,,,0.5,0.5,95.0,,Cycle,100.0,,,,,,,yes,high,"Zhang, X.-Q., Cheng, X.-B., Chen, X., Yan, C. & Zhang, Q. Fluoroethylene Carbonate Additives to Render Uniform Li Deposits in Lithium Metal Batteries. Adv. Funct. Mater. 27, 1605989 (2017).",,1 M LiPF6-EC/DEC (1:1 vol.) + 5 vol% FEC,15.0,0.147992106301661,0.817295568904966,0.1810753807217439,0.9874239566889412,0.0407441839605101,0.0041777177837831,0.0365664661767269,0.2250122783014944,0.2250122783014944,0.0,0.2753132243246734,0.2753132243246734,0.0,True,low
cui2023_038,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,1_m_lipf6_fec_emc_dmc_34_6_57_2_8_2_wt,Li|Cu,LiPF6,,,1.0,,,PF6,FEC,0.278628829745826,EC,0.6259312142878466,EMC,0.0954399559663273,DMC,,,,,1.0,1.0,95.0,,Cycle,100.0,,,,,,,yes,high,"Huang, K. et al. Regulation of SEI Formation by Anion Receptors to Achieve Ultra-Stable Lithium-Metal Batteries. Angew. Chemie Int. Ed. 60, 19232–19240 (2021).",,1 M LiPF6 FEC-EMC-DMC (34.6:57.2:8.2 wt) ,43.0,0.2514363767088479,0.8451276887732866,0.297512884797102,1.1221685835499349,0.0652345229482593,0.0253763637589749,0.0398581591892843,0.219266210916371,0.219266210916371,0.0,0.2594474347830666,0.2594474347830666,0.0,True,low
cui2023_096,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,1_m_litfsi_dol_dme_1_1_vol_2wt_lino3,Li|Cu,LiTFSI,LiNO3,,1.0,0.3109175939364618,,TFSI,DOL,0.5,DME,0.5,,,,,,,,0.5,1.0,98.5,,Cycle,150.0,,,,,,,yes,high,"Yuan, S. et al. Revisiting the designing criteria of advanced solid electrolyte interphase on lithium metal anode under practical condition. Nano Energy 83, 105847 (2021).",,1 M LiTFSI DOL-DME (1:1 vol) 2wt% LiNO3,46.0,0.1404262079490808,0.6757682824062332,0.2078023068041312,0.8936844241133793,0.0346203975244413,0.0,0.0346203975244413,0.1666025659526175,0.1381402555866117,0.0284623103660057,0.2465380076131859,0.2349978751050388,0.0115401325081471,True,high
cui2023_094,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,3_25m_litfsi_0_1m_lino3_sl,Li|Cu,LiTFSI,LiNO3,,3.25,0.1,,TFSI,SL,1.0,,,,,,,,,,0.5,1.0,98.5,,Cycle,100.0,,,,,,,yes,high,"Fu, J. et al. Lithium Nitrate Regulated Sulfone Electrolytes for Lithium Metal Batteries. Angew. Chemie Int. Ed. 59, 22194–22201 (2020).",,3.25M LiTFSI 0.1M LiNO3 SL,24.0,0.402275686840317,0.7073267001407787,0.5687268510580081,1.5292802087381012,0.0928999105906518,0.0,0.0928999105906518,0.1633471506010823,0.0999846474802788,0.0633625031208035,0.2309359318241083,0.1999692949605577,0.0309666368635505,True,high
