literature_id,reference_short,doi,year,source_dataset,formulation_id,cell_type,salt_name,salt_name_2,salt_name_3,salt_concentration_m,salt_concentration_2_m,salt_concentration_3_m,anion_name,solvent_1,solvent_1_fraction,solvent_2,solvent_2_fraction,solvent_3,solvent_3_fraction,additive_1,additive_1_fraction,additive_2,additive_2_fraction,temperature_c,current_density_ma_cm2,areal_capacity_mah_cm2,ce_mean,ce_std,ce_metric_definition,cycle_count,interfacial_resistance_ohm_cm2,conductivity_ms_cm,viscosity_cp,transference_number,substrate_type,separator_type,usable_for_md,pilot_priority,raw_source_location,notes,raw_electrolyte_text,raw_reference_id,fc,oc,fo,inor,f_total,f_solvent,f_anion,o_total,o_solvent,o_anion,c_total,c_solvent,c_anion,in_pilot_window,ce_bin
cui2023_023,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,1m_lifsi_ec_dec_v_1_1,Li|Cu,LiFSI,,,1.0,,,FSI,EC,0.5,DEC,0.5,,,,,,,,0.5,1.0,93.0,,Aurbach,10.0,,,,,,,yes,high,,,1M LiFSI EC/DEC (v 1:1),,0.0463841189088739,0.9013498177036698,0.051460729228353,1.0173101149758546,0.0125604655833376,0.0,0.0125604655833376,0.2440786551547218,0.2189577239880464,0.0251209311666753,0.2707923720188356,0.2707923720188356,0.0,True,low
cui2023_008,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,1m_lipf6_ec_dec_1_2_w_w,Li|Cu,LiPF6,,,1.0,,,PF6,EC,0.2667578659370725,DEC,0.7332421340629275,,,,,,,,1.0,1.0,83.7,,Cycle,40.0,,,,,,,yes,high,"Genovese, M. et al. Combinatorial Methods for Improving Lithium Metal Cycling Efficiency. J. Electrochem. Soc. 165, A3000–A3013 (2018).",,1M LiPF6 EC-DEC (1:2 w/w),10.0,0.1419944987430708,0.7135544441110758,0.1989960260425022,0.8792146926446586,0.038236109961216,0.0,0.038236109961216,0.1921450931540182,0.1921450931540182,0.0,0.2692788122052644,0.2692788122052644,0.0,True,low
cui2023_011,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,1_m_lipf6_ec_dmc_1_2_vol,Li|Cu,LiPF6,,,1.0,,,PF6,EC,0.333,DMC,0.667,,,,,,,,0.5,0.5,86.0,,Cycle,100.0,,,,,,,yes,high,"Ma, Y. et al. Enabling reliable lithium metal batteries by a bifunctional anionic electrolyte additive. Energy Storage Mater. 11, 197–204 (2018).",,1 M LiPF6 EC-DMC (1:2 vol),36.0,0.1548646205138512,1.0,0.1548646205138512,1.1806753905994931,0.0392179675896959,0.0,0.0392179675896959,0.2532403299060051,0.2532403299060051,0.0,0.2532403299060051,0.2532403299060051,0.0,True,low
cui2023_013,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,1_m_lipf6_ec_dec_1_1_vol,Li|Cu,LiPF6,,,1.0,,,PF6,EC,0.5,DEC,0.5,,,,,,,,0.5,0.5,88.0,,Cycle,100.0,,,,,,,yes,high,"Xu, L. et al. Self-leveling electrolyte enabled dendrite-free lithium deposition for safer and stable lithium metal batteries. Chem. Eng. J. 419, 129494 (2021).",,1 M LiPF6-EC/DEC (1:1 vol.),38.0,0.1391523567266217,0.808581579885922,0.1720943936742336,0.9709259960669808,0.0381607130732046,0.0,0.0127202376910682,0.2217429182814697,0.2217429182814697,0.0254404753821364,0.2742369153558434,0.2742369153558434,0.0,True,low
cui2023_015,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,1m_lipf6_ec_dec_1_1_w_w,Li|Cu,LiPF6,,,1.0,,,PF6,EC,0.4248366013071895,DEC,0.5751633986928105,,,,,,,,1.0,1.0,90.3,,Cycle,40.0,,,,,,,yes,high,"Genovese, M. et al. Combinatorial Methods for Improving Lithium Metal Cycling Efficiency. J. Electrochem. Soc. 165, A3000–A3013 (2018).",,1M LiPF6 EC-DEC (1:1 w/w),10.0,0.1400557452898177,0.7783767459418648,0.1799331056843753,0.9417751154466522,0.0381849775908377,0.0,0.0381849775908377,0.2122176319115996,0.2122176319115996,0.0,0.2726412794549874,0.2726412794549874,0.0,True,low
cui2023_019,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,1_m_lipf6_fec_dmc_1_1_v,Li|Cu,LiPF6,,,1.0,,,PF6,FEC,0.5,EC,0.5,DMC,,,,,,,1.0,1.0,91.78,,Cycle,50.0,,,,,,,yes,high,"Xu, L. et al. Self-leveling electrolyte enabled dendrite-free lithium deposition for safer and stable lithium metal batteries. Chem. Eng. J. 419, 129494 (2021).",,1 M LiPF6 FEC-DMC (1:1 v),38.0,0.3349148440560682,1.0,0.3349148440560682,1.3609681218326808,0.08696295308457,0.0463734716710645,0.0405894814135054,0.2596569086976972,0.2596569086976972,0.0,0.2596569086976972,0.2596569086976972,0.0,True,low
cui2023_020,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,1_m_lipf6_fec_ec_dec_2_9_9_vol,Li|Cu,LiPF6,,,1.0,,,PF6,FEC,0.1,EC,0.45,DEC,0.45,,,,,,0.5,1.0,92.2,,Cycle,150.0,,,,,,,yes,high,"Gu, S. et al. Nitrate Additives Coordinated with Crown Ether Stabilize Lithium Metal Anodes in Carbonate Electrolyte. Adv. Funct. Mater. 31, 2102128 (2021).",,1 M LiPF6 FEC-EC-DEC (2:9:9 vol),39.0,0.1717405726269909,0.826925360582763,0.207685700322408,1.0219654285423558,0.0472449141186303,0.0087875138960155,0.0384574002226148,0.2274827493914509,0.2274827493914509,0.0,0.2750946581577035,0.2750946581577035,0.0,True,low
cui2023_034,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,1_m_lipf6_ec_dec_1_1_vol_5_vol_fec,Li|Cu,LiPF6,,,1.0,,,PF6,EC,0.5,DEC,0.5,FEC,0.05,,,,,,0.5,0.5,95.0,,Cycle,100.0,,,,,,,yes,high,"Zhang, X.-Q., Cheng, X.-B., Chen, X., Yan, C. & Zhang, Q. Fluoroethylene Carbonate Additives to Render Uniform Li Deposits in Lithium Metal Batteries. Adv. Funct. Mater. 27, 1605989 (2017).",,1 M LiPF6-EC/DEC (1:1 vol.) + 5 vol% FEC,15.0,0.147992106301661,0.817295568904966,0.1810753807217439,0.9874239566889412,0.0407441839605101,0.0041777177837831,0.0365664661767269,0.2250122783014944,0.2250122783014944,0.0,0.2753132243246734,0.2753132243246734,0.0,True,low
cui2023_038,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,1_m_lipf6_fec_emc_dmc_34_6_57_2_8_2_wt,Li|Cu,LiPF6,,,1.0,,,PF6,FEC,0.278628829745826,EC,0.6259312142878466,EMC,0.0954399559663273,DMC,,,,,1.0,1.0,95.0,,Cycle,100.0,,,,,,,yes,high,"Huang, K. et al. Regulation of SEI Formation by Anion Receptors to Achieve Ultra-Stable Lithium-Metal Batteries. Angew. Chemie Int. Ed. 60, 19232–19240 (2021).",,1 M LiPF6 FEC-EMC-DMC (34.6:57.2:8.2 wt) ,43.0,0.2514363767088479,0.8451276887732866,0.297512884797102,1.1221685835499349,0.0652345229482593,0.0253763637589749,0.0398581591892843,0.219266210916371,0.219266210916371,0.0,0.2594474347830666,0.2594474347830666,0.0,True,low
cui2023_014,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,0_6m_litfsi_0_4m_libob_ec_emc_5_5_wt,Li|Cu,LiTFSI,LiBOB,,0.6,0.4,,TFSI,EC,0.4325021496130696,EMC,0.5674978503869303,,,,,,,,0.5,1.0,88.1,,Aurbach,10.0,,,,,,,yes,high,"Li, X. et al. Dendrite-Free and Performance-Enhanced Lithium Metal Batteries through Optimizing Solvent Compositions and Adding Combinational Additives. Adv. Energy Mater. 8, 1703022 (2018).",,0.6M LiTFSI 0.4M LiBOB EC-EMC (5:5 wt),7.0,0.0814760570422074,0.9392558336046142,0.0867453297889287,1.070522814394837,0.0221826299358415,0.0,0.0221826299358415,0.2557213165229416,0.2212150032894102,0.0345063132335313,0.2722594924340807,0.2550063358173149,0.0172531566167656,True,low
cui2023_041,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,lifsi_1_4dme_3tfeb,Li|Cu,LiFSI,,,,,,FSI,DME,,,,,,,,,,,0.5,1.0,95.4,,Aurbach,10.0,,,,,,,yes,medium,"Cao, X. et al. Effects of fluorinated solvents on electrolyte solvation structures and electrode/electrolyte interphases for lithium metal batteries. Proc. Natl. Acad. Sci. 118, e2020357118 (2021).",,LiFSI-1.4DME-3TFEB,44.0,1.2288135593220335,0.6694915254237288,1.8354430379746831,2.1525423728813555,0.2700186219739292,0.2513966480446927,0.0186219739292364,0.1471135940409683,0.1098696461824953,0.0372439478584729,0.2197392923649906,0.2197392923649906,0.0,True,mid
cui2023_063,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,1m_lifsi_dme,Li|Cu,LiFSI,,,1.0,,,FSI,DME,1.0,,,,,,,,,,0.5,1.0,97.25,,Aurbach,10.0,,,,,,,yes,medium,"Kim, S. C. et al. Potentiometric Measurement to Probe Solvation Energy and Its Correlation to Lithium Battery Cyclability. J. Am. Chem. Soc. 143, 10301–10308 (2021).",,1M LiFSI DME,5.0,0.0519124423963133,0.6038248847926267,0.0859726780126688,0.7336059907834102,0.0121872717929299,0.0,0.0121872717929299,0.1417574987152787,0.1173829551294187,0.0243745435858599,0.2347659102588375,0.2347659102588375,0.0,True,mid
cui2023_070,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,5_m_lifsi_pc,Li|Cu,LiFSI,,,5.0,,,FSI,PC,1.0,,,,,,,,,,0.5,1.0,97.5,,Cycle,100.0,,,,,,,yes,medium,"Fan, X. et al. Highly Fluorinated Interphases Enable High-Voltage Li-Metal Batteries. Chem 4, 174–185 (2018).",,5 M LiFSI PC,52.0,0.2126833333333333,1.175366666666667,0.1809506253367743,1.7070749999999997,0.0493073935974961,0.0,0.0493073935974961,0.2724908715055737,0.1738760843105813,0.0986147871949923,0.2318347790807751,0.2318347790807751,0.0,True,mid
cui2023_088,Kim et al. PNAS 2023,10.1073/pnas.2214357120,2023,cui_pnas_2023_dataset_s01,4_6_m_lifsi_dme,Li|Cu,LiFSI,,,4.6,,,FSI,DME,1.0,,,,,,,,,,0.5,0.5,98.2,,Cycle,200.0,,,,,,,yes,medium,"Alvarado, J. et al. Bisalt ether electrolytes: a pathway towards lithium metal batteries with Ni-rich cathodes. Energy Environ. Sci. 12, 780–794 (2019).",,4.6 M LiFSI DME,56.0,0.2387972350230415,0.977594470046083,0.2442702391839274,1.5745875576036867,0.045975716332696,0.0,0.045975716332696,0.188216609957457,0.096265177292065,0.091951432665392,0.19253035458413,0.19253035458413,0.0,True,mid
